p (mbar),T (degC),Tdew (degC),rh (%),max. wv (m/s),SWDR (W/m�)
1008.89,0.71,-1.33,86.1,1.6,0.0
1008.76,0.75,-1.44,85.2,0.84,0.0
1008.66,0.73,-1.48,85.1,1.48,0.0
1008.64,0.37,-1.64,86.3,1.48,0.0
1008.61,0.33,-1.5,87.4,1.4,0.0
1008.44,0.34,-1.54,87.1,1.32,0.0
1008.49,0.19,-1.65,87.4,1.28,0.0
1008.4,0.03,-1.7,88.1,1.64,0.0
1008.29,0.11,-1.61,88.1,1.72,0.0
1008.28,0.22,-1.62,87.4,1.04,0.0
1008.24,-0.04,-1.85,87.5,1.12,0.0
1008.32,-0.21,-1.78,89.1,1.0,0.0
1008.24,-0.1,-1.74,88.6,0.98,0.0
1008.35,-0.16,-1.88,88.1,1.08,0.0
1008.3,-0.22,-1.82,88.9,0.64,0.0
1008.4,-0.06,-1.77,88.2,2.3,0.0
1008.39,-0.17,-1.81,88.6,1.38,0.0
1008.46,-0.05,-1.71,88.5,1.14,0.0
1008.15,-0.21,-1.84,88.7,0.76,0.0
1008.07,-0.77,-2.31,89.2,2.4,0.0
1008.12,-0.93,-2.26,90.6,1.92,0.0
1008.04,-0.86,-2.17,90.8,1.46,0.0
1008.16,-0.87,-2.16,90.9,1.36,0.0
1008.0,-1.02,-2.31,90.9,2.64,0.0
1007.76,-1.15,-2.37,91.4,2.36,0.0
1007.84,-1.08,-2.25,91.7,1.04,0.0
1007.85,-1.59,-2.93,90.5,1.42,0.0
1008.02,-1.82,-2.92,92.1,2.24,0.0
1007.92,-1.84,-2.9,92.4,1.68,0.0
1007.63,-1.84,-2.78,93.2,2.2,0.0
1007.63,-2.14,-3.21,92.3,2.04,0.0
1007.9,-2.34,-3.26,93.4,1.6,0.0
1007.99,-2.2,-3.05,93.8,1.68,0.0
1007.85,-2.3,-3.18,93.7,1.68,0.0
1007.81,-2.4,-3.21,94.1,0.96,0.0
1007.81,-2.51,-3.34,94.0,2.12,0.0
1007.91,-2.83,-3.64,94.1,2.12,0.0
1008.06,-2.79,-3.53,94.6,1.88,0.0
1008.22,-2.74,-3.45,94.8,1.24,0.0
1008.19,-2.63,-3.31,95.0,0.92,0.0
1008.21,-2.5,-3.19,95.0,0.88,0.0
1008.17,-2.26,-2.94,95.0,1.76,0.0
1008.16,-2.31,-3.09,94.3,2.08,0.0
1008.17,-2.53,-3.39,93.8,1.68,0.0
1008.13,-2.68,-3.49,94.1,1.64,0.0
1008.25,-2.73,-3.53,94.2,1.22,0.0
1008.17,-2.79,-3.57,94.3,1.54,0.0
1008.16,-2.84,-3.6,94.5,2.26,0.0
1008.12,-2.89,-3.65,94.5,2.0,1.21
1008.12,-3.02,-3.79,94.4,0.72,2.21
1008.12,-2.84,-3.56,94.7,0.46,7.65
1008.04,-2.91,-3.75,93.9,1.24,18.71
1007.96,-3.11,-3.99,93.6,1.48,28.57
1008.07,-3.08,-3.9,94.0,1.92,34.21
1008.17,-3.03,-3.89,93.8,1.44,70.62
1008.28,-2.95,-3.86,93.4,1.74,89.34
1008.2,-3.01,-3.99,92.9,1.72,123.14
1008.31,-2.84,-3.89,92.4,1.12,169.62
1008.41,-2.67,-3.71,92.5,1.12,190.95
1008.45,-1.93,-3.18,91.1,0.76,210.06
1008.5,-1.53,-3.33,87.4,1.14,224.14
1008.46,-1.25,-3.27,86.1,1.2,236.82
1008.49,-1.24,-3.25,86.1,1.56,253.92
1008.37,-1.32,-3.29,86.4,1.64,277.06
1008.36,-1.03,-3.07,85.9,1.28,292.56
1008.34,-1.14,-3.08,86.6,2.04,303.02
1008.21,-0.83,-2.89,85.8,2.04,307.04
1008.02,-0.65,-2.77,85.5,2.44,303.62
1008.03,-0.43,-2.63,85.0,3.05,298.39
1007.84,-0.4,-2.63,84.8,2.56,296.38
1007.69,-0.06,-2.41,84.1,1.56,290.54
1007.62,0.68,-2.03,82.0,1.6,285.11
1007.59,0.93,-2.03,80.5,1.54,283.5
1007.56,1.23,-1.8,80.1,1.92,279.07
1007.44,1.7,-1.66,78.3,2.64,272.64
1007.29,1.98,-1.52,77.5,1.96,266.6
1007.12,2.62,-1.29,75.3,1.48,247.69
1007.04,2.83,-1.29,74.2,1.68,230.58
1006.98,2.87,-1.26,74.1,1.9,222.33
1006.83,3.09,-1.13,73.7,2.0,218.11
1006.79,3.86,-0.91,70.9,1.64,211.67
